comment_id,annotator_id,entry_number,valence,target_type
1,1,1,2,2
1,3,1,2,2
6,1,1,2,5
6,3,1,2,5
7,1,1,2,2
7,3,1,2,2
11,1,1,2,5
11,3,1,2,5
15,1,1,1,2
15,3,1,1,2
16,1,1,2,2
16,3,1,2,2
23,1,1,2,2
23,3,1,2,2
24,1,1,1,2
24,3,1,1,2
26,1,1,1,2
26,3,1,1,2
27,1,1,2,2
27,3,1,2,2
29,3,1,1,2
30,1,1,2,2
30,3,1,2,2
32,1,1,2,2
32,3,1,2,2
33,1,1,1,2
33,3,1,2,2
35,1,1,1,2
35,3,1,2,2
38,1,1,2,2
38,3,1,2,2
41,1,1,2,2
41,3,1,2,2
42,1,1,2,2
42,3,1,2,2
44,1,1,2,2
44,3,1,2,2
45,3,1,1,2
46,1,1,2,2
46,3,1,2,2
47,1,1,2,2
47,3,1,2,2
49,1,1,2,2
49,3,1,2,2
50,1,1,2,2
50,3,1,2,2
52,1,1,1,2
52,3,1,2,2
53,1,1,2,2
53,3,1,2,2
54,1,1,2,2
54,3,1,2,2
55,1,1,2,2
55,3,1,2,2
56,1,1,2,5
56,3,1,2,5
60,1,1,2,7
60,3,1,2,7
61,1,1,2,5
61,3,1,2,5
70,1,1,1,2
70,3,1,1,2
71,1,1,2,2
71,3,1,2,2
73,1,1,2,2
73,3,1,2,2
74,1,1,1,2
74,3,1,2,2
75,1,1,2,6
75,3,1,2,5
77,1,1,1,2
77,3,1,2,2
78,1,1,1,2
78,3,1,2,2
83,1,1,1,2
83,3,1,2,2
84,1,1,2,2
84,3,1,2,2
85,1,1,1,2
85,3,1,2,2
86,1,1,2,2
86,3,1,2,2
88,1,1,2,2
88,3,1,2,2
91,1,1,1,6
91,3,1,2,6
92,1,1,2,7
92,3,1,2,7
96,1,1,2,2
96,3,1,2,2
98,1,1,2,2
98,3,1,2,2
99,1,1,2,2
99,3,1,2,2
101,3,1,2,2
105,1,1,2,5
105,1,2,2,2
105,3,1,2,5
105,3,2,2,2
107,1,1,2,2
107,3,1,2,2
110,1,1,2,3
110,3,1,2,3
112,1,1,2,2
112,3,1,2,2
115,1,1,2,2
115,3,1,2,2
117,1,1,2,2
117,3,1,2,2
119,1,1,2,2
119,3,1,2,2
126,1,1,2,2
126,3,1,2,2
127,1,1,2,2
127,3,1,2,2
131,1,1,2,2
131,3,1,2,2
134,1,1,1,2
134,3,1,1,2
137,1,1,2,2
137,3,1,2,2
138,1,1,2,2
138,3,1,2,2
140,1,1,2,2
140,3,1,2,2
142,1,1,2,2
142,3,1,2,2
143,1,1,2,2
143,3,1,2,2
145,1,1,2,2
145,3,1,2,2
148,1,1,2,2
148,3,1,2,2
149,1,1,1,2
149,3,1,2,2
150,1,1,2,2
150,3,1,2,2
151,1,1,2,2
151,3,1,2,2
152,1,1,2,2
152,3,1,2,2
153,3,1,1,7
155,1,1,2,3
155,1,2,1,8
155,3,1,2,3
155,3,2,1,8
164,1,1,1,2
164,3,1,1,2
166,3,1,1,5
167,1,1,2,2
167,3,1,2,2
170,1,1,2,2
170,3,1,2,2
174,1,1,2,2
174,3,1,2,2
175,1,1,2,2
175,3,1,2,2
178,1,1,2,2
178,3,1,2,2
179,3,1,1,2
180,1,1,2,2
180,3,1,2,2
194,1,1,2,7
194,3,1,2,7
195,1,1,2,7
195,3,1,2,7
196,1,1,2,2
196,3,1,2,2
199,1,1,2,2
199,3,1,2,2
202,1,1,2,2
202,3,1,2,2
207,1,1,2,2
207,3,1,2,2
209,1,1,1,2
209,3,1,2,2
222,1,1,1,2
222,3,1,2,2
224,1,1,2,5
224,3,1,2,5
232,1,1,2,7
232,3,1,2,7
233,1,1,2,2
233,3,1,2,2
236,1,1,2,2
236,3,1,2,2
237,1,1,2,2
237,3,1,2,2
238,1,1,2,2
238,3,1,2,2
239,1,1,1,2
239,3,1,1,1
245,1,1,2,7
245,3,1,2,7
252,1,1,2,7
252,3,1,2,7
253,1,1,2,2
253,3,1,2,2
255,1,1,2,2
255,3,1,2,2
256,1,1,2,5
256,3,1,2,5
259,1,1,2,7
259,3,1,2,7
263,1,1,2,2
263,3,1,2,2
266,1,1,2,2
266,3,1,2,2
268,1,1,2,7
268,3,1,2,7
282,1,1,2,5
282,3,1,2,5
288,1,1,2,2
288,3,1,2,2
290,1,1,1,2
290,3,1,1,2
295,1,1,2,2
295,3,1,2,2
298,1,1,2,2
298,3,1,2,2
302,1,1,2,2
302,3,1,2,2
304,1,1,2,2
304,3,1,2,2
305,1,1,2,2
305,3,1,2,2
306,1,1,2,2
306,3,1,2,2
309,1,1,2,2
309,3,1,2,2
311,3,1,2,2
312,1,1,2,2
312,3,1,2,2
314,1,1,2,2
314,3,1,2,2
319,1,1,2,2
319,3,1,2,2
320,1,1,2,2
320,3,1,2,2
323,1,1,2,2
323,3,1,2,2
324,1,1,1,8
324,1,2,2,2
324,3,1,1,8
325,1,1,1,2
330,1,1,2,2
330,3,1,2,2
335,1,1,1,2
335,3,1,2,2
337,1,1,1,2
337,3,1,1,2
340,1,1,1,5
340,3,1,2,5
342,1,1,2,7
342,3,1,2,7
348,1,1,2,1
348,3,1,2,2
359,1,1,2,2
359,3,1,2,2
370,3,1,1,7
371,1,1,2,5
371,3,1,2,5
373,1,1,1,5
373,3,1,1,5
377,1,1,1,5
377,3,1,1,5
380,1,1,2,2
380,3,1,2,2
381,1,1,1,5
381,3,1,2,5
383,1,1,1,2
383,3,1,1,2
387,1,1,1,7
387,3,1,2,7
390,1,1,2,6
390,3,1,2,6
396,3,1,1,5
398,1,1,1,2
398,3,1,1,2
400,1,1,2,3
400,1,2,1,2
400,3,1,2,3
400,3,2,1,2
408,1,1,2,2
408,3,1,2,2
410,1,1,2,2
410,3,1,2,2
412,1,1,1,7
412,1,2,2,5
412,3,1,1,7
412,3,2,2,5
413,1,1,2,2
413,3,1,2,2
414,1,1,1,2
414,3,1,1,3
416,3,1,1,3
419,1,1,1,2
419,3,1,1,2
420,1,1,2,2
420,3,1,2,2
426,1,1,2,2
426,3,1,2,2
430,1,1,2,6
430,3,1,2,6
434,1,1,1,2
434,3,1,2,2
439,1,1,1,2
439,3,1,2,2
440,1,1,2,2
440,3,1,2,2
444,1,1,1,2
444,3,1,1,2
449,1,1,2,2
449,3,1,2,2
450,1,1,2,2
450,3,1,2,2
455,1,1,2,2
455,3,1,2,2
458,1,1,1,2
458,3,1,2,2
463,3,1,1,8
465,1,1,1,8
465,3,1,1,8
468,1,1,1,8
468,1,2,2,2
468,3,1,2,2
469,1,1,2,2
469,3,1,2,2
470,1,1,1,2
470,3,1,1,2
477,1,1,2,2
477,3,1,2,2
478,1,1,2,8
478,3,1,2,8
483,1,1,1,2
483,3,1,1,2
488,1,1,2,2
488,3,1,2,2
489,3,1,2,2
492,1,1,1,2
492,3,1,2,2
494,1,1,2,2
494,3,1,2,2
499,1,1,1,3
499,3,1,2,3
505,1,1,1,5
505,3,1,1,5
508,1,1,1,2
508,3,1,2,2
511,1,1,2,2
511,3,1,2,2
515,1,1,2,3
515,3,1,2,3
516,1,1,1,7
516,3,1,1,7
517,1,0,2,2
517,3,1,2,2
532,1,0,2,2
532,3,1,2,2
533,1,1,2,2
533,3,1,2,2
537,1,1,2,2
537,3,1,2,2
539,1,1,1,2
539,3,1,1,2
541,1,1,1,2
541,3,1,2,2
543,3,1,1,3
557,1,1,2,6
557,3,1,2,6
558,1,1,2,2
558,3,1,2,2
570,1,1,2,7
570,3,1,2,7
573,1,1,2,5
573,3,1,2,5
588,1,1,2,7
588,3,1,2,7
601,1,1,2,7
601,3,1,2,7
607,1,1,2,5
607,3,1,2,5
617,1,1,1,5
617,3,1,1,5
619,1,1,2,7
619,3,1,2,7
625,1,1,2,7
625,3,1,2,7
629,3,1,1,5
640,1,1,1,3
640,3,1,1,3
708,1,1,2,7
708,3,1,2,5
755,1,1,2,8
755,3,1,2,8
756,1,1,1,3
756,3,1,1,3
767,1,1,2,5
767,3,1,2,5
778,1,1,2,3
778,3,1,2,3
784,1,1,1,3
784,3,1,2,3
793,1,1,2,5
793,1,2,1,8
793,3,1,2,5
793,3,2,1,8
800,1,1,2,3
800,3,1,2,3
839,1,1,2,2
839,3,1,2,2
842,1,1,2,6
842,3,1,2,6
848,1,1,2,2
848,3,1,2,2
868,1,1,1,8
868,3,1,1,8
879,3,1,2,3
902,1,1,2,5
902,3,1,2,5
919,1,1,1,3
919,3,1,2,3
920,1,1,1,3
920,3,1,2,3
921,1,1,1,5
921,3,1,1,5
928,1,1,2,3
928,3,1,2,3
948,1,1,2,3
948,3,1,2,3
981,1,1,1,3
981,3,1,2,3
986,1,1,1,3
986,3,1,1,3
995,1,1,1,3
995,3,1,1,3
1007,1,1,1,3
1007,3,1,1,3
1013,3,1,1,3
1017,1,1,1,3
1017,3,1,1,3
1025,1,1,2,3
1025,3,1,2,3
1034,1,1,2,3
1034,3,1,2,3
1051,1,1,1,3
1051,3,1,2,3
1055,1,1,1,3
1055,3,1,1,3
1061,1,1,1,3
1061,3,1,1,3
1066,1,1,1,3
1066,3,1,1,3
1085,1,1,1,5
1085,3,1,2,5
1088,1,1,1,3
1088,3,1,2,3
1144,1,1,2,3
1144,3,1,2,3
1182,1,1,2,2
1182,3,1,2,2
1204,1,1,1,5
1204,3,1,1,5
1220,1,1,2,2
1220,3,1,2,2
1231,1,1,2,2
1231,3,1,2,2
1241,1,1,2,2
1241,3,1,2,2
1245,1,1,1,2
1245,3,1,2,2
1270,1,1,1,2
1270,3,1,2,2
1272,1,1,2,2
1272,3,1,1,2
1274,1,1,2,2
1274,3,1,2,2
1276,1,1,1,5
1276,3,1,2,5
1280,1,1,2,2
1280,3,1,2,2
1286,1,1,1,5
1286,3,1,1,5
1290,1,1,2,3
1290,3,1,2,3
1297,1,1,2,2
1297,3,1,2,2
1299,1,1,2,2
1299,3,1,2,2
1304,1,1,1,2
1304,3,1,1,2
1307,1,1,2,3
1307,3,1,2,3
1318,1,1,2,2
1318,3,1,2,2
1319,1,1,2,2
1319,3,1,2,2
1320,1,1,2,2
1320,3,1,2,2
1324,1,1,2,3
1324,3,1,2,3
1329,1,1,1,6
1329,3,1,1,6
1332,1,1,2,2
1332,3,1,2,2
1335,1,1,2,2
1335,3,1,2,2
1336,1,1,2,5
1336,3,1,2,5
1337,1,1,2,2
1337,3,1,2,2
1346,1,1,2,3
1346,3,1,2,3
1361,1,1,1,3
1361,3,1,1,3
1364,3,1,1,3
1385,1,1,1,3
1385,3,1,1,3
1404,3,1,1,3
1410,1,1,1,3
1410,3,1,1,3
1419,1,1,2,6
1419,3,1,2,6
1422,1,1,1,8
1422,1,2,1,3
1422,3,1,1,8
1422,3,2,1,3
1443,1,1,1,2
1443,3,1,1,2
1454,1,1,2,2
1454,3,1,2,2
1460,1,1,2,3
1460,3,1,2,3
1466,1,1,1,3
1466,3,1,2,3
1478,1,1,1,3
1478,3,1,1,3
1479,3,1,1,6
1495,1,1,1,2
1495,3,1,2,2
1519,1,1,1,3
1519,3,1,1,3
1522,1,1,2,2
1522,3,1,1,2
1539,1,1,2,3
1539,3,1,2,3
1589,1,1,2,5
1589,3,1,2,5
1604,1,1,2,5
1604,3,1,2,5
1648,3,1,2,3
1650,1,1,1,3
1650,3,1,2,3
1690,1,1,2,7
1690,3,1,2,7
1692,1,1,2,2
1692,3,1,2,2
1697,3,1,1,3
1699,1,1,1,3
1699,3,1,1,3
1717,1,1,1,2
1717,3,1,1,2
1718,1,1,2,5
1718,3,1,2,5
1752,1,1,2,3
1752,3,1,2,3
1773,1,1,1,6
1851,1,1,1,8
1851,3,1,1,8
1856,1,1,1,8
1856,3,1,1,8
1859,1,1,1,2
1859,3,1,2,8
1861,1,1,2,8
1861,3,1,2,8
1862,1,1,1,3
1862,3,1,1,3
1866,1,1,1,8
1866,3,1,1,8
1881,1,1,2,3
1881,3,1,2,3
1888,3,1,1,8
1891,1,1,1,8
1891,3,1,1,8
1895,1,1,1,8
1895,3,1,1,8
1905,1,1,1,8
1905,3,1,1,8
1930,1,1,2,5
1930,3,1,2,5
1940,1,1,2,2
1940,3,1,2,2
1948,1,1,2,2
1948,3,1,2,2
1950,1,1,1,2
1950,3,1,2,2
1951,1,1,2,2
1951,3,1,2,2
1952,1,1,1,2
1952,3,1,2,2
1953,1,1,2,2
1953,3,1,2,2
1954,1,1,2,2
1954,3,1,2,2
1959,1,1,2,2
1959,3,1,2,2
1960,1,1,1,8
1960,3,1,1,8
1981,1,1,2,3
1981,3,1,2,3
1999,1,1,1,5
1999,3,1,1,5
2002,1,1,1,2
2002,3,1,1,2
2013,1,1,2,2
2013,3,1,2,2
2029,1,1,2,5
2029,3,1,2,5
2032,3,1,1,5
2052,1,1,1,5
2062,1,1,2,3
2062,3,1,2,3
2065,1,1,2,5
2065,3,1,2,5
2070,1,1,2,2
2070,3,1,1,2
2073,1,1,1,2
2073,3,1,1,2
2130,3,1,1,3
2133,1,1,1,5
2133,3,1,1,5
2156,1,1,1,3
2156,3,1,1,3
2174,1,1,1,3
2174,3,1,1,3
2180,1,1,1,5
2180,3,1,1,5
2189,1,1,2,8
2189,3,1,2,8
2205,1,1,1,7
2205,3,1,1,7
2207,3,1,1,3
2214,1,1,2,3
2214,1,2,1,5
2214,3,1,2,3
2214,3,2,2,5
2240,1,1,2,5
2240,3,1,2,5
2248,1,1,1,5
2248,3,1,2,5
2260,1,1,2,7
2260,3,1,2,7
2262,1,1,1,3
2262,3,1,1,3
2286,3,1,1,3
2298,1,1,2,3
2298,3,1,2,3
2309,1,1,1,5
2309,3,1,1,3
2315,1,1,2,2
2315,3,1,2,2
2319,1,1,2,3
2319,3,1,2,3
2324,1,1,1,3
2324,3,1,1,3
2331,1,1,1,3
2331,3,1,2,3
2372,1,1,2,3
2372,3,1,2,3
2376,1,1,1,3
2376,3,1,1,3
2391,1,1,1,3
2391,3,1,1,3
2414,1,1,2,2
2414,3,1,2,2
2423,1,1,1,3
2423,3,1,1,3
2454,3,1,1,5
2489,1,1,2,3
2489,3,1,2,3
2502,1,1,1,7
2502,3,1,1,7
2537,1,1,1,7
