post_id,page_id,post_message,post_story,created_at,like_count
1,1,"tja .... das Ergebniss ungebremsten Zuzug ...",NULL,"2015-03-28 01:59:28",0
2,1,"........19-jähriger Tschetschene, ........ bei der ein 20-jähriger Afghane..................../////// Tja",NULL,"2015-04-01 02:04:24",0
3,1,"Zu wilden Straßenkämpfen zwischen Volksgruppen aus Afghanistan und Tschetschenien, ausgetragen mit Messern sowie Autos als Rammböcken...................",NULL,"2015-04-02 21:49:12",0
4,1,"manche Sünden bestraft der Herrgott sofort ........ LOL heissts :(",NULL,"2015-04-13 16:02:53",0
5,1,"genau lesen ........",NULL,"2015-04-16 13:18:21",0
6,1,"hmmmmmm und die wollen nach Europa/Christliches Land ??",NULL,"2015-04-16 20:31:23",0
7,1,"..........Anführer des inneren Kerns war ein 20- jähriger Russe.......",NULL,"2015-04-17 13:31:59",0
8,1,"stellt euch vor ...... es wären eure Eltern ! .........",NULL,"2015-04-20 16:44:37",0
9,1,"............... Fünf Serben, ein Mazedonier ...............",NULL,"2015-04-28 09:39:35",0
10,1,"von wo kommt der blos her ? tippt mal",NULL,"2015-04-29 15:53:31",0
11,1,"Acht Jahre lang soll .....- er bezog Notstandshilfe ........als ""türkisch- österreichischen"" Kulturverein......... //////// ja wehe man sagt was, dann ist man gleich Ausländerfeindlich .. Nazi und sonnstige blödheiten bekommt man an den Kopf geworfen !",NULL,"2015-04-30 11:13:58",0
12,1,"...........Türkische Bande verübte Einbrüche.................. Tschetschenische Bande ging auf wehrlose Opfer los........ /das ist ""Arbeitsteilung"" nochwas dazu, ""Typisch für ein marxistisches System ist es, Kriminelle zu schonen, aber politische Gegner als Kriminelle zu behandeln"" zitat Alexander Solschenizyn",NULL,"2015-05-04 23:42:51",0
13,1,"...... gehen wir mal  nen Halbmond runterreissen, na da wär was los !",NULL,"2015-05-05 22:03:40",0
14,1,"zum Posting von vor 2 Tagen ....... Um die immer weiter voranschreitende Islamisierung seiner Stadt zu dokumentieren, ließ ein französischer Bürgermeister den Moslemanteil an den Schulkindern zählen.
Und er kam dabei auf 64,6%!
Dafür wird er nun von der politischen und medialen Elite als Rassist gescholten und muss mit einer Anklage rechnen.
MERKE: Das Dokumentieren der Islamisierung ist verboten.//",NULL,"2015-05-07 14:47:43",0
15,1,"Der Täter: Semun A.* († 36), ein türkischstämmiger Schweizer aus Reichenburg SZ...........///////// die linken Medien schreiben Schweizer, tssss",NULL,"2015-05-11 01:30:37",0
16,1,".......eigenen Aussagen in der Praxis studiert und hält deshalb die heimischen Integrationspolitik für gescheitert........

""Dritte Generation schlechter integriert als erste""

Seine Erfahrungen mit den jungen Klienten hätten gezeigt, dass die von Sozialromantikern vertretene These, dass sich die Menschen von Generation zu Generation automatisch besser integrieren, nicht stimme. Wer das heute behauptet, sei naiv und lebensfremd, so Mayer. ""Die alten Gastarbeiter, die ihr ganzes Leben für ihre Kinder gehackelt haben - das sind die Vorzeigemigranten. So mancher Enkel fährt trotzdem nach Syrien kämpfen oder geht rauben, weil der Kodex von Ehre, Stolz und Kampf, der in den Parks gepredigt wird, wichtiger ist als das Wort seiner Mutter oder seines Großvaters. Ich erlebe die dritte Generation als schlechter integriert als die erste. Und wenn sich nur ein Prozent radikalisiert, haben wir ein riesiges Problem"", so der Jurist im Gespräch mit der ""Wiener Zeitung"". Und er warnt: ""Wenn wir es uns weiter so leicht machen, werden wir von der Problematik erdrückt."" ..........",NULL,"2015-05-15 19:24:14",0
17,1,"was passiert nun mit dem ? zu dem nur Männer ,... und wo haben all die ""armen"" das geld zum flüchten her ? es stinkt alles",NULL,"2015-05-21 12:47:22",0
18,1,"wie kommen die an dieses Geld ? ""angeblich"" haben sie nichst mehr nur ncoh das was am Körper tragen ... sagt man immer wieder ! ich geh davon aus das nur Kriminelle her kommen die Geld haben und es sich leisten können.",NULL,"2015-05-21 18:24:20",0
19,1,"was da wohl ""gelehrt"" wurde..........",NULL,"2015-05-22 22:37:30",0
20,1,"............ein in der Kosovo- Hauptstadt Pristina geborenes Brüderpaar, das in Österreich Asyl beantragt hat,............//// den Asylantrag  verbrennen und Einreiseverbot für immer !",NULL,"2015-05-25 19:16:23",0
21,1,"......... Serbe wollte einen gleichaltrigen Landsmann mit dem Auto über den Haufen fahren ....... ////// der tägliche Wahnsinn !!!!! wann ist endlich Schluß ?",NULL,"2015-05-26 13:12:51",0
22,1,"Wien ist tatsächlich anders: Tschetschenen, Serben, Albaner, Türken usw und so fort üben sich in beinahe täglichen Schießereien. Chikago ist da im Vergleich ein harmloses Kuhdorf... ////",NULL,"2015-05-27 09:02:34",0
23,1,"....34 Jahre alter Mann ist am Mittwoch am Landesgericht Klagenfurt zu 7,5 Jahren Haft verurteilt worden.....""Es tut mir leid, was passiert ist"", sagte der aus Bosnien stammende Mann zu Beginn der Verhandlung am Mittwoch....   //////////... hier wurde beim Urteil sicher wieder das ""südländische Temperament"" berücksichtigt!!! Trauriges Österreich!!! mir kommt das kotzen",NULL,"2015-05-27 12:36:45",0
24,1,".............drei Moldawier ...........////// tsss schöne ""Gäste"" ......",NULL,"2015-05-28 16:15:07",0
25,1,"es ist noch ärger ... den die die ""Inlandspassträger"" mit Migriationshintergrund  wurden noch gar nicht berückstichtigt ....",NULL,"2015-05-31 17:14:29",0
26,1,"was neues zu ........Wie Ermittler inoffiziell bestätigen, hatte Alen R. (26) auf der Social- Media- Plattform Twitter 2.578 Follower..........Fazit so wie ich das sehe Vorsatz zu dem Politisch bzw Religös motiviert war das ganze, der Terroakt in Graz.",NULL,"2015-06-23 15:05:27",0
27,1,"....""Niemand nahm unsere Ängste und Warnungen ernst""
""Eine Familie, gegen die wir nie ankamen"", sagen nun viele Kalsdorfer: ""Seit Jahren machten wir Anzeigen gegen Alen R. und seine Eltern. Aber niemand nahm unsere Ängste und Warnungen ernst."".......Familie R. führte ""Schreckensherrschaft""
""Ohne jemals ernsthaft von der Justiz verfolgt zu werden, führte die Familie hier eine Schreckensherrschaft."" Der Hund eines Nachbarn sei von den R.s mit Messern attackiert worden, Ziegen und Schweine, die sie auf ihrem Anwesen unter miserablen Bedingungen hielten, öffentlich abgeschlachtet. Alen R. schoss wiederholt mit einem Gewehr aus seinem Haus
.........//// jetzt kommt das totalversagen der Behörden und vor allem der Politiker die Gesetze erstellen http://www.krone.at/Steiermark/Das_duestere_Familienleben_des_Grazer_Amokfahrers-Spuren_des_Boesen-Story-459866",NULL,"2015-06-28 14:23:21",0
28,1,"na das hätten wir aber nicht gewusst wenn die das nicht gesagt hätten ....",NULL,"2015-07-03 17:20:22",0
29,1,"Hat man da noch Worten ......... ab in seine ""Heimat"" dann erlebt er wie man mit solch einen umgehen muss !",NULL,"2015-07-03 17:27:05",0
30,1,"is schon eigenartig ..das man nur in alternativen Medien was darüber liest ...",NULL,"2015-09-07 12:35:36",0
31,1,"siehe da ... von wo der nun ist ....... diverse Medien haben damals vor Tagen kein Wort geschrieben von wo der ist und jetzt ...",NULL,"2015-09-14 19:28:49",0
32,1,"sicher alles Einheimische .. 100%ig ... i schwöre !  ...Und nun 10 Jahre Reha in der Kuranstalt Stein. Mit drei Mahlzeiten täglich, Fitnessraum und Satellitenfernseher. Solche Typen haben nichts zu verlieren und so erkläre ich mir diese Brutalität. Alles besser als in der Heimat....1x auf die Finger klopfen, 2x du du du das darf man nicht und dann einen Therapeuten, so streng und abschreckend läuft das bei uns !",NULL,"2015-09-17 16:13:15",0
33,1,"Erstaufnahmeeinrichtung für Asylbewerber in Erfurt. Bericht eines Gesundheitsaufsehers der Bundeswehrs: „Die Hallen werden 2-mal am Tag gereinigt. Trotzdem ist der Reinigungszustand der Böden aus meiner Sicht nicht in Ordnung, da immer wieder Müll auf den Fußboden geworfen wird. Das Urinieren in irgendwelchen Ecken ist Routine. In den Unterkunftsbereichen werden alleinstehende Frauen von anderen männlichen Personen aus anderen Ländern anuriniert, auch wenn die Frauen schlafen. Sexuelle Belästigungen sind an der Tagesordnung.“ ...",NULL,"2015-09-25 18:34:43",0
34,1,"Es könne doch nicht sein, dass Polizeibeamte kaum noch Rechte hätten und dass Menschen, die das Grundgesetz nicht achten und eine (illegale) Parallelgesellschaft geschaffen haben, hier tun und lassen können, was sie wollen. ""Wo sind wir mittlerweile gelandet?"", fragte Kambouri in ihrem Schreiben. ""Ist es schon so weit gekommen, dass die deutsche Polizei bzw. der Staat sich (negativ) anpassen muss und wir unsere demokratische Vorstellung in gewissen Lebens- /Einsatzsituationen einschränken und aufgeben müssen?"" (1 zu1 auf Österreich übertragbar !) http://www.krone.at/Welt/Junge_Polizistin_kritisiert_aggressive_Einwanderer-Buch_geschrieben-Story-474285",NULL,"2015-09-29 09:00:24",0
35,1,"Der 16- jährige Afghane, ...22- jährigen tschetschenischen... und beie tschüß ... verlasst unser Land für immer !",NULL,"2015-10-06 15:38:28",0
36,1,"Warum könne wir diesen Flüchtlingskinder und Flüchtlingsfrauen nicht helfen? Irgendwann wird es unsere Frauen und Kinder treffen! Dieser Irrsinn muss ein Ende haben!
08.10.15 Otterndorf bei Cuxhaven Pakistaner vergewaltigt ein 12 jähriges Kind
Letzte Woche gleiche Flüchtlingsheim ähnlicher Vorfall.
07.10.15 Gestern Hamburg zwei Tage hintereinander gleiche Flüchtlingsheim Massenschlägerei Pakistaner gegen Albaner und Afganen.
06.10.15 Niedersachsen in Friedland Massenschlägerei Pakistaner gegen Afganen.
usw. usw usw.
Quelle: stellt euch nicht so dumm an und googlet!  hier das Video https://www.facebook.com/DasIstDerRussenTreffOriginal/videos/941403115932448/",NULL,"2015-10-10 13:32:40",0
37,1,"ja es reicht ...",NULL,"2015-10-20 13:11:00",0
38,1,"speziell min 16 etwa ..wie man mit kriminelle umgehen sollte !",NULL,"2015-10-22 09:09:11",0
39,1,"aha ....",NULL,"2015-11-06 01:14:50",0
40,1,"Ein Whistleblower aus der OP-Abteilung des Klever Krankenhauses berichtet folgendes: In einem relativen kurzen Zeitraum, sind fünf Mädchen zwischen acht und zehn Jahren mit schweren Verletzungen in das Krankenhauses Kleve eingeliefert worden, nachdem sie auf ihrem Schulweg entführt und brutal vergewaltigt worden sind. Zur Zeit werden diese Mädchen abgeschottet und sind in psychiatrischer Behandlung.
Warum darf die Öffentlichkeit darüber nichts erfahren, fragt Lothar Schulze in seinem Blog zurecht? Die Antwort ist so einfach wie grausam. Für die Schlafschafe müssen die “Flüchtlinge” ganz liebe Menschen bleiben.",NULL,"2015-11-06 11:34:28",0
41,1,"Anscheinend macht sich ""Refugees Welcome Bonn"" wesentlich mehr Sorgen um den Ruf der Flüchtlinge als um die sexuell belästigten Mädchen.
und ich dachte das sind nur Lügen der fremdenfeindlichen Rechten ..... (Userkom. so ist es ) villeicht betraf es eh ""nur"" linke ""kampf"" Emanzen ... :D LOL  dies ist der gebührende ""Lohn"" für ihre ""Arbeit"" die wir Steuerzahler mit zig Förderungen zahlen !!!!!!!",NULL,"2015-11-14 14:07:13",0
42,1,"So ist es .... von Anfang an  hat KAR sich für strenge Kontrollen  bei den Flüchtlingen ausgesprochen, Kriminelle Ausländer sollen sofort  ausgewiesen werden, inkl Aufendhaltsverbot  für die ganze EU.  Der Aussage bleiben wir jetzt treu. Zu den Franzosen, haben die nicht Sarkosi mit seiner harten Ausländerpolitik in die Wüste geschickt ?  War nicht Sarkosi ein Freund Gadafis, der den Flüchtlingsansturm abwährte ! Die Franzosen haben ihn abgewählt und der Französische Geheimdienst hat den Arabischen Frühling mitinziniert, nun erntet man die Früchte dieser Politik.  Zum schluß ein Video  https://www.facebook.com/ruecktrittwernerfaymann/videos/910813292305251 wenns nach mir geht Personen ausforschen und ausweisen !!!!!!","KAR - Kriminelle Ausländer Raus shared Der Russen Treff's photo.","2015-11-15 15:24:53",0
43,1,"Die vier afghanischen Staatsangehörigen gingen auf einen 25-jährigen Asylwerber aus Marokko los und verletzten diesen im Gesicht. Die Verdächtigen werden angezeigt, wie die Polizei in einer Aussendung mitteilt. //////// warum nicht sofort abgeschoben, warum gibts nicht endlich so ein Gesetz das besagt tschüß .. wir wollen euch net mehr da haben .........",NULL,"2015-11-19 18:49:38",0
44,1,"Sicher nur ein Einzelfall .... denn all die Männer die nun rein kamen haben sicher keinen Samenstau, nee siche rnicht sind alle gaaanz brav !",NULL,"2015-11-19 19:05:38",0
45,1,"wie die medein das bis jetzt verschwiegen ........ unglaublich",NULL,"2015-11-27 23:05:59",0
46,1,"Der arme is nur a Einzelfall.. und traumatisiert ! bestimmt ...  der weis ja noch nicht das man hier niemanden ausrauben darf. Gut das er nun auf die richtige traf die ihm das schmerzhaft bei brachte.",NULL,"2015-11-28 22:19:58",0
47,1,"und noch  zwei Videos ... http://aufdecker.square7.ch/index.php/die-asylmafia ...",NULL,"2015-11-29 18:22:24",0
48,1,"Das ist das falsche Signal des Staates .... anstelle volle Härte zu zeigen wird ein Skandalurteil gefällt.",NULL,"2015-11-29 23:05:04",0
49,1,"und tschüß .. wer sich nicht benehmen kann, muss gehen !",NULL,"2015-12-04 13:37:21",0
50,1,"der soll unten bleiben 
und ein Einreise verbot  verhängt werden ...",NULL,"2015-12-10 17:37:56",0
51,2,"Alltag in Schweden, dank unverbesserlicher Gutmenschen und Realitätsverweigerer auch bald bei uns?!

""Die schwedische Polizei hält Kriminalität im Zusammenhang mit Flüchtlingen laut einem Medienbericht geheim. Informationen über Straftaten, bei denen Täter oder Opfer Asylbewerber sind, werden nach einem Bericht der Zeitung ""Dagens Nyheter"" mit dem Geheimhaltungscode ""291"" versehen.""",NULL,"2016-01-25 13:30:27",0
52,2,"Klingt komisch, ist aber so....",NULL,"2016-01-23 16:02:01",0
53,2,"Berlin um 1900 in Farbe! Und keine Frau muss auf die Armlänge Abstand achten, das waren noch Zeiten...",NULL,"2016-01-23 20:58:11",0
54,2,"Ehemals Verschwörungstheorie in Schweden. Jetzt scheinbar bewiesen.Polizei, Regierung und Medien verweigern der Bevölkerung die Wahrheit, wenn es um die Migranten und ihre Straftaten geht.","Ich bin Patriot, aber kein Nazi shared Young-German's post.","2016-01-24 10:03:26",0
55,2,"Schluss mit dem Zerreden! Patrioten müssen gerade jetzt in größter Not mit authentischen Taten überzeugen! Guter Beitrag von Pierre Aronnax.",NULL,"2016-01-24 12:14:57",0
56,2,"Das Schlimmste wäre es jetzt, wenn Pseudo-Asylhardliner wie Sigmar Gabriel und Horst Seehofer das Ruder übernehmen. Dann geht die Masseneinwanderung nämlich weiter, nur etwas langsamer. Von daher: Lasst Angela Merkel die Bundesrepublik ruhig noch ein paar Monate länger regieren und so richtig gegen die Wand fahren. Erst dann kann es zu einem großen Umbruch kommen.",NULL,"2016-01-24 14:38:10",0
57,2,"""Patriotismus und Weltoffenheit sind keine Gegensätze -
sie bedingen einander!
Nur wer sich selbst achtet, achtet auch andere!""

-Horst Köhler","Ich bin Patriot, aber kein Nazi shared Ehre und Anerkennung den deutschen Soldaten's photo.","2016-01-26 18:00:01",0
58,2,"Franzosen müssen ihr Haus in Calais vor marodierenden Fachkräften und deren linksextremen Unterstützern verteidigen! Deutsche: Schaut euch diese Bilder an. Bereitet euch vor...","Ich bin Patriot, aber kein Nazi shared Smash Cultural Marxism's video.","2016-01-24 16:55:00",0
59,2,"RAF-Methoden sind nun offenbar auch legitim um politische Gegner auszuschalten. Leute, passt auf euch auf!

http://www.huffingtonpost.de/2016/01/24/afd-karlsruhe-schuesse-_n_9063626.html?utm_hp_ref=germany&ir=Germany",NULL,"2016-01-24 18:11:34",0
60,2,"[...]
""Mir ist in der Tat vor kurzem etwas irrwitziges passiert. Es beweist einmal mehr, dass sich der politische Wind im Lande gedreht hat. Ein Kollege kam mir kürzlich entgegen und trug nichts weiter als ein normales T-shirt. Nichts ungewöhnliches könnte man meinen. Nun vor wenigen Wochen hatte ich ihn noch stets mit einem „Refugees-Welcome“- Shirt herum stolzieren sehen. Eine klare Aussage, wie ich finde. Obwohl ich natürlich kein Verfechter von einem generellen „Refugees-Unwelcome“ bin, muss ich doch anmerken, dass jener Kollege dem Menschenschlag der Salongutmenschen angehört. Oder vielleicht eher dem Typus des dumpfen Mitläufers. Denn seit kurzer Zeit trägt er schließlich das Shirt nicht mehr. Ja auf die Frage hin, warum er denn das Hemd nicht mehr anzieht und ob er JETZT seine Meinung etwa geändert hat, bekam ich sinngemäß folgende Antwort.

„Also nee…ich war immer schon skeptisch bei dieser Flüchtlingsgeschichte.“

EINEN SCHEI…Warst du!

Vor nur ein paar Wochen hätte dieser JUNGE (der Körper eines Erwachsenen macht einen Mann noch nicht zum Mann) jeden Menschen als Nazi tituliert, der auch nur zu leiser Vorsicht bei der Migrationswelle gemahnt hätte. Dieser ungeheuerliche und dennoch vorhersehbare Fall von Mitläufertum erinnerte mich jedoch an das Ende der Nazis oder vielleicht gar das Ende der DDR bzw. jedes Regimes. Als der Zweite Weltkrieg vorbei war, zogen viele Nazi-Funktionäre, darunter auch etliche Kriegsverbrecher, ihre Uniform wieder aus und versuchten sich unter das Volk zu mischen. Nach dem Ende jedes Regimes, will es keiner gewesen sein. Dann wollte keiner gewusst haben, wie es zu all dem kommen konnte. „Ich war niemals Nazi/Kommunist/Sozialist/Unterstützerjener-oder dieser Partei und so weiter.“ So taten auch viele Stasi-Mitarbeiter einfach ihren Mantel ablegen und so tun, als sei nichts geschehen.

Genauso könnte es wieder verlaufen. Sollten wir gewinnen und die Verhältnisse sich grundlegend ändern, erleben wir vielleicht den spontanen und überraschenden Wandel von etlichen Persönlichkeiten, denen man das niemals zugetraut hätte.

„ICH war doch schon IMMER Patriot!“ – Das werden einige heraus posaunen.

„Also ich habe euch natürlich heimlich immer unterstützt…“ – Werden viele behaupten.

Die Wechselbälger der neuen Zeit mögen uns in der Masse nicht interessieren. Wichtig ist nur, dass wir jene nicht vergessen, die JETZT und in der VERGANGENHEIT die Macht haben oder hatten. Also. Zeichnet alles auf! Nicht um den Nachbarn zu denunzieren, sondern um die Machthaber und ihre Lakaien nicht vor ihrer Verantwortung entkommen zu lassen.

Damit wir dank moderner Technik auch in zehn Jahren noch wissen, wer sich über den Tod des deutschen Volkes gefreut hat, wer eine Armlänge Abstand gefordert hat und wer aktiv bei der Abschaffung des Landes mitgeholfen hat.

Wie viele Journalisten und Politiker agieren schon seit Jahrzehnten gegen das eigene Volk, die Nation und alles was uns heilig ist? Wie viele haben sich mit Namen und Rang an der Vertuschungs- und Verleugnungspolitik beteiligt? Diese Menschen dürfen ihre Uniform am Ende nicht einfach ausziehen und dann so weitermachen als wäre nichts gewesen. Die dürfen nicht einfach in das zivile Leben zurückkehren und die Biedermeier-Gemütlichkeit ihrer Privatwohnungen konsumieren.

[...]","Ich bin Patriot, aber kein Nazi shared Young-German's post.","2016-01-24 18:55:55",0
61,2,"Mal wieder zur Erinnerung: Aufkleber für den patriotischen Umbruch. Hier holen: http://nonkonform-denken.de/patriot","Ich bin Patriot, aber kein Nazi shared Blaue Narzisse's photo.","2016-01-24 23:07:05",0
62,2,"Merkel leidet, wie viele Mächtige, an Selbstüberschätzung, die sie mittlerweile immun für Kritik macht!",NULL,"2016-01-25 07:30:10",0
63,2,"Wir alle zahlen Sanierung von Facharbeiter-Gebissen! Denkt daran, wenn ihr die nächste Behandlung selbst zahlen müsst oder die Beiträge steigen. Da zahlt man doch gerne ein... Solidargemeinschaft ?",NULL,"2016-01-25 10:30:56",0
64,2,"Damit ihr immer unsere Meldungen seht!",NULL,"2016-01-25 12:30:07",0
65,2,"Mordversuch auf AfD-Mitglied!

""Ein 36-Jähriger ist beim Aufstellen von Wahlplakaten für die Alternative für Deutschland (AfD) in Karlsruhe von einem Unbekannten beschossen worden. Der mit einem Schal vermummte Angreifer hatte den Plakatierer zuvor angesprochen, wie die Polizei am Sonntag mitteilte.
Laut Darstellung des Kreisverbands der rechtskonservativen AfD forderte der Mann den 36-Jährigen auf, zu verschwinden. Nach Erkenntnis der Polizei setzte sich der Plakatierer daraufhin in seinen Lieferwagen um loszufahren, doch der Unbekannte zog eine Pistole aus einer Tasche und schoss von außen durch das geschlossene Beifahrerfenster. Dabei verfehlte er den Fahrer, der unverletzt davonfuhr. Nach dem Vorfall am Samstagabend suchte die Polizei zunächst vergebens nach dem Schützen.""",NULL,"2016-01-26 16:00:00",0
66,2,"Ein Vorstoß der Facebook-Seite ""Faktislam"".
Hmm, ob das auch für die Christen in Syrien, Saudi-Arabien und der Türkei gilt?",NULL,"2016-01-27 08:00:08",0
67,2,"Was haltet ihr von einer Verfassungsbeschwerde? Die Plattform EinProzent (www.einprozent.de) hat angekündigt, dass der bekannte Staatsrechtler Prof. Schachtschneider beauftragt wurde, eine solche Beschwerde vorzubereiten. Finanziert wird diese Beschwerde von EinProzent. Es bleibt spannend!","Ich bin Patriot, aber kein Nazi shared Ein Prozent für unser Land's post.","2016-01-26 20:20:10",0
68,2,"Geht es noch erbärmlicher?","Ich bin Patriot, aber kein Nazi shared Einwanderungskritik's post.","2016-01-26 21:07:11",0
69,2,"+ Eil Meldung +",NULL,"2016-01-27 12:08:15",0
70,2,"Rund 1,2 Millionen Schüler im Alter zwischen sechs und 16 Jahren bekommen Nachhilfeunterricht - obwohl ein Drittel von ihnen befriedigende bis sehr gute Noten hat. Das ist das Ergebnis einer repräsentativen Elternbefragung im Auftrag der Bertelsmann Stiftung.",NULL,"2016-01-27 14:00:09",0
71,2,"Patrioten!

Leider haben wir keine guten Nachrichten für euch. Mit einer fadenscheinigen Begründung hat Facebook uns für das posten von Medien (Bilder, Videos) gesperrt!

Die Meldung lautete, dass wegen vieler Urheberrechtsverletzungen diese Entscheidung getroffen wurde. Dazu stellen wir folgendes fest: 2015 wurde nicht ein einziger Inhalt wegen Urheberrechtsverletzungen entfernt. Kann eine Person nachweisen, dass sie Urheber einer Grafik ist, wird diese immer von Facebook entfernt. Dies war also bei uns NICHT der Fall. Daraus resultiert, dass die Begründung glatt gelogen ist. 

Wir stellen zudem fest, dass andere patriotische Seiten mit der gleichen Begründung für das posten von Medien gesperrt wurden. Zufall?

Fakt ist, dass Facebook und die Bundesregierung mit der Stiftung der ehemaligen STASI-Spionin (Frau Anetta Kahane), der Amadeu Antonio Stiftung, zusammen arbeitet. Zusammen will diese Personengruppe ""Hasskommentare"" bei Facebook bekämpfen. Wer genau dort welche Aufgabe hat ist absolut undurchsichtig und nicht nachvollziehbar. Kurz nach dem Beginn dieser Zusammenarbeit wurden viele Bilder von unserer Seite gelöscht, weil sie angeblich gegen die Facebook Gemeinschaftsstandards verstoßen... Zufall?

Wir fühlen uns zum ersten mal machtlos und unterdrückt. Die Zensur ist in Deutschland nun Alltag. Die Bundesregierung will verhindern, dass wir unsere Kräfte bündeln und uns organisieren. 

Wir geben jedoch nicht auf und werden weiter posten. Allerdings haben Bilder und Videos die höchste Reichweite, weshalb wir vermutlich nicht mehr wöchentlich 6 Millionen User erreichen werden. Wir prüfen zudem rechtliche Schritte, auch wenn das vermutlich keinen Erfolg haben wird, da nicht deutsches Recht ausschlaggebend ist. 

Mit lieben Grüßen,
Euer Admin-Team",NULL,"2016-01-27 16:00:58",0
72,2,"Typisch linke Presse. Jeder, der sich für sein Vaterland einsetzt, ist rechts, reaktionär, gar ein schlimmer Nazi. Diesmal hat es die Vernetzungsplattform EinProzent erwischt. Lügenpresse?","Ich bin Patriot, aber kein Nazi shared Ein Prozent für unser Land's post.","2016-01-27 15:24:55",0
73,2,"Derzeit können wir Dank willkürlicher Facebook-Zensur weder Bilder noch Videos verbreiten. Doch wir lassen uns nicht den Mund verbieten! Daher: Wieso nicht einen guten Textbeitrag verbreiten? 

""Wir erleben die 'Jahre der Entscheidung'. Es geht um unser Land, unser Volk, um Europa. Nicht weniger und nicht mehr."" Dringende Leseempfehlung!","Ich bin Patriot, aber kein Nazi shared Ein Prozent für unser Land's post.","2016-01-27 19:51:55",0
74,2,"Heute haben sich ALLE großen Online-Medien der Bundesrepublik mächtig blamiert. Sie meldeten ohne Überprüfung, ein Syrer sei in Berlin aufgrund unmenschlicher Behandlung durch die Behörden gestorben. Nun hat sich herausgestellt: Ein linker Flüchtlingshelfer hat den Tod des Syrers erfunden.",NULL,"2016-01-27 22:10:08",0
75,2,"Kulturelle Bereicherung in Schweden:

""Schweden ist für Frauen das gefährlichste Land außerhalb Afrikas geworden, mit einer Vergewaltigungshäufigkeit, die zehnmal höher liegt als bei seinen europäischen Nachbarn.""
(David Goldman, Asia Tones)",NULL,"2016-01-28 20:30:02",0
76,2,"WOW! Daimler konnte bis jetzt 40 Flüchtlinge einstellen. Für Praktika. Superüberfachkräfte halt. #wirtschaftswunder",NULL,"2016-01-28 21:00:59",0
77,2,"Sehr treffend: ""In Wahrheit ist den Politikern das Volk vollkommen egal. Es gibt bis jetzt nicht das allergeringste Abkommen von der bisherigen autogenozidalen Einwanderungs-Politik. Wenn ein Partei-Apparatschik wirklich von den schrecklichen Ereignissen betroffen wäre, so müsste er ja einsehen, dass diese Politik falsch ist. Er müsste eine radikale Kehrtwende machen und sich beim Volk entschuldigen, er müsste um Verzeihung betteln, weil ihn seine Schuld so sehr bedrückt. Doch nichts dergleichen geschieht. Die politische Klasse befiehlt die derzeitigen Verbrechen, weil sie sie nicht verhindert, obwohl sie könnte, wenn sie nur wollte. Diese Heuchelei ist absolut widerlich und wir sollten ihr vor allem mit einem begegnen: Zorn.""",NULL,"2016-01-29 08:31:38",0
78,2,"Die Verfassungsbeschwerde von Ein Prozent für unser Land und Prof. Schachtschneider startet! 

Besorgte Bürger klagen gegen einen Staat, der mit seiner Asylpolitik unser aller Zukunft gefährdet. Merkel muss weg! Grenzen dicht!",NULL,"2016-01-29 20:05:16",0
